comb,scr_p1,scr_p2,scr_p3,scr_p4
[0],0.925000011920929, 0.6600000262260437, 0.9100000262260437, 0.7450000047683716
[1], 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(0_ 1),0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(0_ 2),0.925000011920929, 0.8349999785423279, 0.9049999713897705, 0.800000011920929
(0_ 3), 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(0_ 4), 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.7699999809265137
(1_ 2),0.9150000214576721, 0.8550000190734863, 0.9049999713897705, 0.8050000071525574
(1_ 3),0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(1_ 4), 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(2_ 3),0.925000011920929, 0.8199999928474426, 0.9049999713897705, 0.800000011920929
(2_ 4),0.925000011920929, 0.8550000190734863, 0.9049999713897705, 0.800000011920929
(3_ 4),0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
[2],, 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(0_ 1_ 2),0.925000011920929, 0.8550000190734863, 0.9100000262260437, 0.8100000023841858
(0_ 1_ 3), 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(0_ 1_ 4), 0.925000011920929, 0.8550000190734863, 0.9100000262260437, 0.8050000071525574
(0_ 2_ 3), 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(0_ 2_ 4),0.925000011920929, 0.8500000238418579, 0.9049999713897705, 0.8050000071525574
(0_ 3_ 4), 0.925000011920929, 0.05000000074505806, 0.9100000262260437, 0.8050000071525574
(1_ 2_ 3), 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(1_ 2_ 4), 0.925000011920929, 0.8550000190734863, 0.9100000262260437, 0.8050000071525574
(1_ 3_ 4), 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(2_ 3_ 4),0.9150000214576721, 0.8500000238418579, 0.8799999952316284, 0.800000011920929
[3], 0.925000011920929, 0.8500000238418579, 0.6600000262260437, 0.054999999701976776
(0_ 1_ 2_ 3), 0.9150000214576721, 0.8550000190734863, 0.9100000262260437, 0.8050000071525574
(0_ 1_ 2_ 4), 0.9150000214576721, 0.8550000190734863, 0.9100000262260437, 0.8050000071525574
(0_ 1_ 3_ 4), 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(0_ 2_ 3_ 4), 0.9150000214576721, 0.75, 0.9100000262260437, 0.8050000071525574
(1_ 2_ 3_ 4), 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
[4], 0.925000011920929, 0.8500000238418579, 0.9100000262260437, 0.8050000071525574
(0_ 1_ 2_ 3_ 4), 0.9150000214576721, 0.8100000023841858, 0.9049999713897705, 0.800000011920929
